number,english_name,spanish_name,rgb,owned
70.951,White,Blanco,"255,255,255",false
70.745,Dark Rose,Rosa Oscuro,"120,82,83",false
70.766,Cream White,Blanco Crema,"216, 203, 187",false
70.956,Clear Orange,Naranja,"206, 80, 51",false
70.859,Black Red,Rojo Negro,"79, 45, 44",false
70.811,Blue Violet,Violeta Azul,"87, 79, 134",true
70.930,Dark Blue,Azul Oscuro,"37, 56, 105",false
70.966,Turquoise,Turquesa,"10, 71, 94",false
70.757,Pacific Green,Verde Pacifico,"90, 116, 107",true
70.827,Lime Green,Verde Lima,"123, 149, 68",false
70.892,Yellow Olive,Oliva Amarillo,"47, 55, 47",false
70.884,Stone Grey,Gris Piedra,"134, 125, 105",true
70.919,Cold White,Blanco Frio,"242,242,246",false
70.845,Sunny Skin Tone,Carne Dorada,"236,150,77",false
70.837,Pale Sand,Arena Clara,"222, 187, 138",false
70.909,Vermilion,Bermellón,"198, 47, 53",false
70.748,Light Pink,Rosa Claro,"222, 138, 159",false
70.807,Oxford Blue,Azul Oxford,"58, 61, 89",false
70.925,Blue,Azul Intenso,"53, 45, 81",false
70.898,Dark Sea Blue,Azul Marina Osc.,"25, 41, 55",false
70.895,Gunship Green,Verde Acorazado,"69, 86, 65",false
70.967,Olive Green,Verde Olive,"77, 98, 60",false
70.896,Extra Dark Green,Verde Extra Osc.,"31, 34, 9",false
70.987,Medium Grey,Medium Grey,"125, 112, 91",false
70.820,Off-White,Blanco Pergamino,"242,242,246",false
70.804,Beige Red,Rojo Beige,"173,113,83",false
70.858,Ice Yellow,Ice Yellow,"231, 202, 116",false
70.908,Carmine Red,Rojo Carmin,"149, 36, 41",false
70.958,Pink,Pink,"175, 84, 129",false
70.960,Violet,Violet,"55, 44, 80",false
70.752,Infantry Blue,Azul Infantería,"25, 24, 41",false
70.754,Continental Blue,Azul Continental,"25, 28, 40",false
70.920,German Uniform,Uniforme Alemán,"62, 81, 70",false
70.922,Uniform Green,Verde Uniforme,"68, 83, 50",false
70.760,Light Mud,Lodo Claro,"121, 120, 97",false
70.821,Germ. Beige WWII,Beige Alem. WWII,"115, 107, 86",false
70.918,Ivory,Hueso,"228,219,201",false
70.843,Cork Brown,Marrón Corcho,"155,115,87",false
70.949,Light Yellow,Amarillo Claro,"243, 209, 79",false
70.926,Red,Rojo,"118, 38, 41",false
70.945,Magenta,Magenta,"141, 53, 93",false
70.751,Black Violet,Violeta Negro,"49, 37, 49",false
70.961,Sky Blue,Azul Cielo,"101, 180, 203",false
70.755,Light Emerald,Esmeralda Claro,"13, 129, 120",false
70.897,Bronze Green,Verde Bronce,"38, 53, 36",false
70.850,Medium Olive,Oliva Medio,"59, 78, 51",false
70.924,Russian Unif. WWII,Unifor. Ruso WWII,"80, 82, 56",false
70.988,Khaki,Khaki,"107, 96, 64",false
70.928,Light Flesh,Carne Clara,"240,205,175",false
70.876,Brown Sand,Arena Marrón,"140,99,75",false
70.952,Lemon Yellow,Amarillo Limón,"222, 209, 45",false
70.747,Faded Red,Rojo Desgastado,"184, 95, 88",false
70.802,Sunset Red,Rojo Sunset,"189, 50, 84",false
70.902,Azure,Azul Azur,"89, 110, 159",false
70.844,Deep Sky Blue,Azul Profundo,"71, 148, 192",false
70.838,Emerald,Esmeralda,"0, 101, 79",false
70.758,Bright Green,Verde Claro,"109, 131, 81",false
70.823,Luftwaffe Green,Verde Luftwaffe,"46, 59, 35",false
70.893,US Dark Green,Verde Americano,"68, 70, 56",false
70.762,Grey Brown,Grey Brown,"83, 71, 36",false
70.815,Basic Skin Tone,Carne Base,"230,166,135",false
70.746,Chestnut Brown,Marrón Castaño,"137,119,112",false
70.915,Deep Yellow,Amarillo Intenso,"237, 198, 37",false
70.829,Amaranth Red,Rojo Amaranth,"211, 87, 60",false
70.812,Violet Red,Rojo Violeta,"93, 52, 65",false
70.965,Prussian Blue,Azul de Prusia,"51, 71, 99",false
70.841,Andrea Blue,Azul Andrea,"0, 116, 174",false
70.974,Green Sky,Verde Azul,"111, 140, 103",false
70.891,Intermediate Green,Verde Medio,"79, 103, 71",false
70.975,Military Green,Verde Militar,"57, 61, 49",false
70.890,Refractive Green,Verde Refractario,"63, 70, 52",false
